Config,DataFile,Strategy,StrategyLabel,RunID,Seed,K,N2Raw,Users,Candidates,InitialCost,FinalCost,ImprovementPct,Iterations,InitialCoverage,FinalCoverage,InitialSolution,FinalSolution,FinalGapPct,JaccardToBest
10_130,data/input_data_10_130_8_new.xlsx,random,Random,43,85,10,11,130,20,15272.591657226258,2576.2656667390575,83.13144406293287,13,0.6923076923076923,0.9384615384615385,3 5 6 7 9 10 12 13 15 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,44,86,10,11,130,20,8043.255027165238,2576.2656667390575,67.96986222570347,4,0.8384615384615385,0.9384615384615385,0 2 4 8 10 11 14 17 18 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,45,87,10,11,130,20,10786.343577285865,2907.7372835342862,73.0424192155582,9,0.7923076923076923,0.9307692307692308,3 4 5 6 8 10 12 13 15 17,4 7 8 9 12 13 15 16 17 18,12.866360060404539,0.3333333333333333
10_130,data/input_data_10_130_8_new.xlsx,random,Random,46,88,10,11,130,20,11054.570390488634,2576.2656667390575,76.69501775522929,12,0.7923076923076923,0.9384615384615385,0 5 6 8 10 11 12 15 16 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,47,89,10,11,130,20,10165.5561451064,2576.2656667390575,74.65691369990371,11,0.7923076923076923,0.9384615384615385,2 3 4 5 6 8 11 13 15 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,48,90,10,11,130,20,7254.153096598,2576.2656667390575,64.48564522373734,10,0.8461538461538461,0.9384615384615385,2 4 6 7 9 11 12 15 16 17,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,random,Random,49,91,10,11,130,20,11281.886532556653,2576.2656667390575,77.16458449298696,13,0.7692307692307693,0.9384615384615385,2 5 7 11 12 13 14 15 17 18,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,density_topk,Density,0,42,10,11,130,20,12037.631860985715,2576.2656667390575,78.59823513054255,11,0.7615384615384615,0.9384615384615385,0 5 6 8 9 10 11 12 14 17,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,distance_sum,DistSum,0,42,10,11,130,20,16395.272361444335,2576.2656667390575,84.2865332765225,14,0.6846153846153846,0.9384615384615385,0 4 5 6 9 10 12 14 17 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,greedy_marginal,Greedy,0,42,10,11,130,20,2598.971692724219,2576.2656667390575,0.8736542244275535,2,0.9384615384615385,0.9384615384615385,0 1 2 7 8 10 11 14 15 19,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_130,data/input_data_10_130_8_new.xlsx,density_diverse,Diverse,0,42,10,11,130,20,8661.985488008466,2576.2656667390575,70.25779285470284,7,0.823076923076923,0.9384615384615385,0 6 8 9 10 11 12 14 17 18,0 1 7 8 10 14 15 17 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,0,42,10,11,150,20,13000.198159365953,3665.3642236796645,71.80532035937496,13,0.7666666666666667,0.9266666666666666,0 1 2 3 7 8 10 11 16 17,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,1,43,10,11,150,20,12725.778331796344,3665.3642236796645,71.19732775384381,14,0.7666666666666667,0.9266666666666666,1 4 7 9 10 11 12 14 15 19,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,2,44,10,11,150,20,12163.390536741472,3858.752585506522,68.27568288750953,8,0.7933333333333333,0.9266666666666666,0 3 4 5 6 13 16 17 18 19,0 2 4 6 7 8 10 11 13 19,5.276102183174432,0.5384615384615384
10_150,data/input_data_10_150_8_new.xlsx,random,Random,3,45,10,11,150,20,9725.115568105512,3665.3642236796645,62.31032733738823,9,0.8066666666666666,0.9266666666666666,0 1 2 4 5 7 8 13 15 19,0 7 8 10 11 13 14 15 18 19,0.0,1.0
10_150,data/input_data_10_150_8_new.xlsx,random,Random,4,46,10,11,150,20,9043.380333350291,3923.9943554484084,56.609207942107076,12,0.8266666666666667,0.92,0 1 2 4 7 8 9 11 12 18,0 3 4 7 8 9 11 15 18 19,7.056055441854691,0.5384615384615384
10_150,data/input_data_10_150_8_new.xlsx,random,Random,5,47,10,11,150,20,12657.250930009759,3665.3642236796645,71.04138770774264,11,0.7733333333333333,0.9266666666666666,2 4 6 8 9 10 11 12 13 14,0 7 8 10 11 13 14 15 18 19,0.0,1.0
