DataFile,K,Users,Strategy,Runs,MeanFinalCost,StdFinalCost,BestObservedFinalCost,MeanGapPct,MinFinalCost,MaxFinalCost
input_data_20_150_8_new.xlsx,20,150,greedy_marginal,1,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_150_8_new.xlsx,20,150,density_diverse,1,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_180_8.xlsx,20,180,random,50,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_180_8.xlsx,20,180,density_topk,1,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_180_8.xlsx,20,180,distance_sum,1,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_180_8.xlsx,20,180,greedy_marginal,1,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_180_8.xlsx,20,180,density_diverse,1,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_180_8_new.xlsx,20,180,random,50,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_180_8_new.xlsx,20,180,density_topk,1,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_180_8_new.xlsx,20,180,distance_sum,1,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_180_8_new.xlsx,20,180,greedy_marginal,1,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_180_8_new.xlsx,20,180,density_diverse,1,309.12777388644275,0.0,309.12777388644275,0.0,309.12777388644275,309.12777388644275
input_data_20_300_8.xlsx,20,300,random,50,4371.514030061475,123.61193943458812,4291.59428511682,1.8622390569820415,4291.59428511682,4658.225055568681
input_data_20_300_8.xlsx,20,300,density_topk,1,4291.59428511682,0.0,4291.59428511682,0.0,4291.59428511682,4291.59428511682
input_data_20_300_8.xlsx,20,300,distance_sum,1,4349.402385549574,0.0,4291.59428511682,1.3470075825487908,4349.402385549574,4349.402385549574
input_data_20_300_8.xlsx,20,300,greedy_marginal,1,4349.402385549574,0.0,4291.59428511682,1.3470075825487908,4349.402385549574,4349.402385549574
input_data_20_300_8.xlsx,20,300,density_diverse,1,4291.59428511682,0.0,4291.59428511682,0.0,4291.59428511682,4291.59428511682
input_data_5_130_8_new.xlsx,5,130,random,50,19326.355670754936,0.0,19326.355670754936,0.0,19326.355670754936,19326.355670754936
input_data_5_130_8_new.xlsx,5,130,density_topk,1,19326.355670754936,0.0,19326.355670754936,0.0,19326.355670754936,19326.355670754936
input_data_5_130_8_new.xlsx,5,130,distance_sum,1,19326.355670754936,0.0,19326.355670754936,0.0,19326.355670754936,19326.355670754936
input_data_5_130_8_new.xlsx,5,130,greedy_marginal,1,19326.355670754936,0.0,19326.355670754936,0.0,19326.355670754936,19326.355670754936
input_data_5_130_8_new.xlsx,5,130,density_diverse,1,19326.355670754936,0.0,19326.355670754936,0.0,19326.355670754936,19326.355670754936
