Config,Varpi,VarpiLabel,Seed,HV,IGD,Spacing,BestQ,BestFrontQ,ParetoCount,SolutionCount,BestCostNorm,BestDelayNorm,RawBestCost,RawBestDelay,NpzPath
10_130,1,1,42,0.9196542702931877,0.03923505809394418,0.00734001742268906,0.31312832007613917,0.31312832007613917,50,50,0.027278706136503118,0.08556760798880829,1100.6627082411615,175.6370435876704,output/npz/res_hybrid_anchor_varpi1_10_130_seed42.npz
10_130,1,1,43,0.9538763287625701,0.02494619562910027,0.0060577050618852825,0.3014326668954439,0.3014326668954439,50,50,0.0219561079839693,0.04573386552723577,1091.6829972436549,163.30335812289619,output/npz/res_hybrid_anchor_varpi1_10_130_seed43.npz
10_130,1,1,44,0.9289259893755947,0.035229177616158416,0.006654898454617112,0.30891071659435587,0.30891071659435587,50,50,0.09069973262940861,0.01486896925117388,1207.6597936402138,153.74668834879532,output/npz/res_hybrid_anchor_varpi1_10_130_seed44.npz
10_130,2,2,42,0.9758354043884263,0.013716789545291376,0.00902673813029049,0.30296057392423525,0.30296057392423525,50,50,0.03737869870374804,0.0011356333126201293,1117.7023215525005,149.49444802737423,output/npz/res_hybrid_anchor_varpi2_10_130_seed42.npz
10_130,2,2,43,0.8703508105697092,0.07004629873172462,0.006592217412637355,0.32602291534924455,0.32602291534924455,50,50,0.14833570410459426,0.03824472719393456,1304.896960917499,160.98450302927228,output/npz/res_hybrid_anchor_varpi2_10_130_seed43.npz
10_130,2,2,44,0.9553678073355725,0.024783287953584882,0.007837083031865356,0.30262161998265846,0.30262161998265846,50,50,0.04261886261673509,0.0,1126.5429584312749,149.1428229172132,output/npz/res_hybrid_anchor_varpi2_10_130_seed44.npz
10_130,3,3,42,0.9653538608510519,0.018963301861399686,0.005523623982869183,0.2933895994462742,0.2933895994462742,50,50,0.03369709237381001,0.026035409198282927,1111.4911141868465,157.20414299799867,output/npz/res_hybrid_anchor_varpi3_10_130_seed42.npz
10_130,3,3,43,0.9157148929908014,0.04615357749687871,0.006613199919052316,0.31192987129501065,0.31192987129501065,50,50,0.0916983641605832,0.050133479765700116,1209.3445765762835,164.66560667978007,output/npz/res_hybrid_anchor_varpi3_10_130_seed43.npz
10_130,3,3,44,0.9653583227222703,0.01938946638893882,0.0052923918538402975,0.29825724016992045,0.29825724016992045,50,50,0.04234542764178301,0.03732723423721938,1126.0816485631776,160.7004205191946,output/npz/res_hybrid_anchor_varpi3_10_130_seed44.npz
10_130,4,Vj=4,42,0.9036141016405916,0.045067945533297196,0.00588867673914135,0.31206650727756935,0.31206650727756935,50,50,0.08306707117899745,0.08348238482620636,1194.7827940993272,174.99139783554946,output/npz/res_hybrid_anchor_varpi4_10_130_seed42.npz
10_130,4,Vj=4,43,0.968803106276785,0.01880972955512519,0.005746477076306639,0.2985362649955009,0.2985362649955009,50,50,0.057373100181649504,0.014306278976118674,1151.4347097009843,153.57246307048226,output/npz/res_hybrid_anchor_varpi4_10_130_seed43.npz
10_130,4,Vj=4,44,0.9623248658232337,0.0201645900044045,0.007489325748859908,0.3028888003645044,0.3028888003645044,50,50,0.0,0.046222561291312886,1054.6410303928917,163.4546725480449,output/npz/res_hybrid_anchor_varpi4_10_130_seed44.npz
10_150,1,1,42,0.940475710883675,0.031044784592830305,0.008611754184091951,0.30062465462287413,0.30062465462287413,50,50,0.0713979925229747,0.0029226260055591298,1232.8426565410136,187.2338875627078,output/npz/res_hybrid_anchor_varpi1_10_150_seed42.npz
10_150,1,1,43,0.8680029752494136,0.06341730646688593,0.006584772378797438,0.3241622565360486,0.3241622565360486,50,50,0.14722369634321172,0.030669772473524815,1373.743265301066,197.21763176409374,output/npz/res_hybrid_anchor_varpi1_10_150_seed43.npz
10_150,1,1,44,0.9363790730803458,0.026716540109923206,0.0072252927328038735,0.3001385516554451,0.3001385516554451,50,50,0.05256633966331223,0.03821899869680339,1197.8493598328826,199.93393066778904,output/npz/res_hybrid_anchor_varpi1_10_150_seed44.npz
